,count/time,eventName,timestamp,username
244,287,time event,2018-09-19 13:54:40.514273,bbb
245,830,time event,2018-09-19 13:54:42.206152,bbb
246,1733,time event,2018-09-19 13:54:43.906516,bbb
247,4550,time event,2018-09-19 13:54:48.409789,bbb
248,2005,time event,2018-09-19 13:54:51.070437,bbb
249,1276,time event,2018-09-19 13:54:52.448281,bbb
250,752,time event,2018-09-19 13:54:53.104704,bbb
251,1723,time event,2018-09-19 13:54:54.802970,bbb
252,9,time event,2018-09-19 13:54:54.967521,bbb
253,309,time event,2018-09-19 13:54:56.081170,bbb
254,65,time event,2018-09-19 13:54:56.247894,bbb
255,64,time event,2018-09-19 13:54:56.331480,bbb
256,197,time event,2018-09-19 13:54:58.202931,bbb
257,6938,time event,2018-09-19 13:55:20.928252,bbb
258,49,time event,2018-09-19 13:55:20.989759,bbb
259,2,vote click event,2018-09-19 13:55:25.650122,bbb
260,1839,time event,2018-09-19 13:55:23.147497,bbb
261,1121,time event,2018-09-19 13:55:24.272163,bbb
262,2105,time event,2018-09-19 13:55:26.382960,bbb
263,20482,time event,2018-09-19 13:55:47.009620,bbb
264,2067,time event,2018-09-19 13:55:49.513404,bbb
265,271,time event,2018-09-19 13:55:49.553601,bbb
266,209,time event,2018-09-19 13:55:50.115976,bbb
267,13,time event,2018-09-19 13:55:50.164627,bbb
268,1272,scroll_down event,2018-09-19 13:59:36.037094,ccc
269,509,scroll_up event,2018-09-19 13:59:37.986653,ccc
270,577,time event,2018-09-19 13:56:37.065954,ccc
271,3156,time event,2018-09-19 13:56:41.156344,ccc
272,717,time event,2018-09-19 13:56:42.403504,ccc
273,65,time event,2018-09-19 13:56:42.486993,ccc
274,1,search event,2018-09-19 13:56:45.999764,ccc
275,134,time event,2018-09-19 13:56:46.258124,ccc
276,29790,time event,2018-09-19 13:57:16.254145,ccc
277,15088,time event,2018-09-19 13:57:31.220374,ccc
278,2673,time event,2018-09-19 13:57:49.362703,ccc
